JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2419789.5,1.1,,,Vis.,SFE,C,,,,,,,V,,,,ALF ORI,,STD,,,,
2421597.3,1.0,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421602.4,0.8,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421607.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421612.3,0.8,,,Vis.,HDD,M,,,,,,,V,,,,ALF ORI,,STD,,,,
2421622.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421623.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421624.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421626.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421627.3,0.8,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421627.3,0.1,,,Vis.,LY,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421629.3,0.8,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421631.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421634.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421635.3,1.0,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421636.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421637.3,0.9,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421640.3,0.9,,,Vis.,HDD,M,,,,,,,V,,,,ALF ORI,,STD,,,,
2421641.3,0.2,,,Vis.,LY,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421650.3,0.9,,,Vis.,HDD,M,,,,,,,V,,,,ALF ORI,,STD,,,,
2421654.4,0.2,,,Vis.,LY,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421659.3,1.0,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421661.4,1.0,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
2421662.3,1.0,,,Vis.,HDD,,,,,,,,V,,,,ALF ORI,,STD,,,,
